# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Sep 22 07:47:09 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 8.90000 0.0900000036 1.0816895962    0.090 -3.368  3.3597  5.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 13.190 15.273 18.099 18.147 13.794
0.02 0.14251 8.90000 0.1000000015 1.1711064577    0.100 -3.225  3.3801  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.833 14.916 17.736 17.784 13.437
0.02 0.14251 8.90000 0.1147894561 1.2839722633    0.115 -3.063  3.4020  5.120    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.45e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.427 14.509 17.324 17.371 13.030
0.02 0.14251 8.90000 0.1192017868 1.3140319586    0.119 -3.018  3.4082  5.117    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.85e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.315 14.396 17.210 17.258 12.918
0.02 0.14251 8.90000 0.1200000048 1.3193155527    0.120 -3.009  3.4093  5.115    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-17      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.292 14.374 17.187 17.235 12.896
0.02 0.14251 8.90000 0.1313084811 1.3895858526    0.131 -2.903  3.4219  5.098    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-17      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.026 14.042 16.764 16.812 12.581
0.02 0.14251 8.90000 0.1400000006 1.4384527206    0.140 -2.826  3.4309  5.085    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.28e-17      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.834 13.716 16.266 16.313 12.289
0.02 0.14251 8.90000 0.1407781839 1.4426349401    0.141 -2.821  3.4314  5.085    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.33e-17      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.822 13.697 16.238 16.285 12.272
0.02 0.14251 8.90000 0.1512920856 1.4963517189    0.151 -2.743  3.4394  5.070    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-17      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.628 13.396 15.807 15.854 11.997
0.02 0.14251 8.90000 0.1549006850 1.5136806965    0.155 -2.719  3.4420  5.066    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.96e-17      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.567 13.301 15.671 15.718 11.911
